"","TSLA.Open","TSLA.High","TSLA.Low","TSLA.Close","TSLA.Volume","TSLA.Adjusted"
"1",233.87,246.66,233.7,238.72,137971100,238.72
"2",242.92,246.57,239.17,239.37,126436200,239.37
"3",241.55,244.08,236.98,242.64,107142300,242.64
"4",240.27,245.27,239.27,243.84,102980100,243.84
"5",242.74,243.44,237.45,239.74,97913900,239.74
"6",238.55,238.99,233.87,237.01,95328300,237.01
"7",234.19,240.3,228.2,239.29,146286300,239.29
"8",241.22,253.88,240.79,251.05,160829200,251.05
"9",251.21,254.13,248.3,253.5,135720800,253.5
"10",253.78,258.74,251.36,252.08,116416500,252.08
"11",253.48,258.34,253.01,257.22,106737400,257.22
"12",256.41,259.84,247,247.14,125097000,247.14
"13",251.9,254.8,248.55,254.5,109594200,254.5
"14",256.76,258.22,251.37,252.54,93249800,252.54
"15",254.49,257.97,252.91,256.61,86892400,256.61
"16",258.35,263.34,257.52,261.44,106494400,261.44
"17",263.66,265.13,252.71,253.18,113619900,253.18
"18",255.1,255.19,247.43,248.48,100615300,248.48
"19",250.08,251.25,244.41,248.42,104654200,248.42
"20",244.98,245.68,236.32,238.45,121082600,238.45
"21",239.25,242.7,237.73,237.93,102629300,237.93
"22",236.86,240.12,234.9,237.49,92379400,237.49
"23",236.14,241.25,235.3,240.45,85166600,240.45
"24",238.11,238.96,232.04,234.96,96705700,234.96
"25",235.1,235.5,231.29,233.94,91628500,233.94
"26",230.57,230.93,225.37,227.22,105873600,227.22
"27",220.08,225.34,217.15,218.89,122889000,218.89
"28",215.1,223.49,212.18,219.91,115355000,219.91
"29",214.86,215.67,212.01,215.55,103164400,215.55
"30",216.88,217.45,208.74,211.88,108595400,211.88
"31",209.99,213.19,207.56,212.19,102095800,212.19
"32",212.26,217.8,206.27,208.8,117952500,208.8
"33",211.3,215.65,207.75,209.14,106605900,209.14
"34",211.88,212.73,206.77,207.83,123369900,207.83
"35",189.7,193,180.06,182.63,198076800,182.63
"36",185.5,186.78,182.1,183.25,107343200,183.25
"37",185.63,191.48,183.67,190.93,125013100,190.93
"38",195.33,196.36,190.61,191.59,109982300,191.59
"39",187,193.97,185.85,187.29,103221400,187.29
"40",188.5,189.88,184.28,188.86,91843300,188.86
"41",185.04,188.69,182,187.91,110505100,187.91
"42",184.26,184.68,175.01,181.06,134294400,181.06
"43",177.21,186.49,177.11,185.1,122676000,185.1
"44",188.18,189.79,182.68,187.58,111535200,187.58
"45",189,191.62,185.58,189.56,83034000,189.56
"46",190.18,194.12,189.48,193.57,84476300,193.57
"47",192.11,194.73,187.28,188.13,95498600,188.13
"48",183.99,187.26,182.11,184.02,86759500,184.02
"49",185.3,188.89,183.35,188.71,81203000,188.71
"50",189.16,200.88,188.86,200.45,120831800,200.45
"51",202.06,203.17,197.4,199.95,111173600,199.95
"52",196.13,198.6,189.13,193.76,104545800,193.76
"53",193.36,199.44,191.95,194.77,103844000,194.77
"54",194,198.32,191.36,197.41,92739500,197.41
"55",195.31,197.57,191.5,191.97,78841900,191.97
"56",192.29,201.78,192,199.4,111747100,199.4
"57",204.04,205.6,198.26,199.73,108645400,199.73
"58",200.42,205.3,198.44,202.04,99806200,202.04
"59",204.18,205.28,198.45,201.88,85907000,201.88
"60",200.52,204.52,198.5,202.64,82099200,202.64
"61",198.73,199.75,186.72,188.14,134334900,188.14
"62",183.05,184.59,177.57,180.74,119660800,180.74
"63",179.99,181.58,173.7,176.54,107920900,176.54
"64",174.35,180.04,173.7,178.65,102129000,178.65
"65",181.5,182.73,174.7,175.34,85315300,175.34
"66",175.45,182.87,174.8,177.77,85391500,177.77
"67",177.77,179.43,172.41,177.54,87391700,177.54
"68",173.05,176.05,169.15,169.48,106524500,169.48
"69",167.77,171.17,160.51,162.5,126325700,162.5
"70",163.16,165.18,160.76,163.57,96971900,163.57
"71",170.02,174.72,165.9,173.8,108214400,173.8
"72",172.36,172.82,167.42,171.32,77271400,171.32
"73",173,176.25,170.82,175.66,83846700,175.66
"74",176.39,178.18,171.8,172.82,73178000,172.82
"75",166.69,171.2,166.3,170.83,75454700,170.83
"76",168.76,175.24,168.73,172.63,74228600,172.63
"77",178.58,184.25,177.38,177.67,113186200,177.67
"78",181.41,181.91,176,179.83,81804000,179.83
"79",177.45,179.57,175.3,175.79,77654800,175.79
"80",176.17,176.75,170.21,175.22,81562100,175.22
"81",164.75,167.69,163.43,166.63,116650600,166.63
"82",164.02,168.82,163.28,168.38,82950100,168.38
"83",170.07,177.19,168.01,171.11,123162000,171.11
"84",169.08,170.86,160.51,164.9,141250700,164.9
"85",169.34,174.5,167.79,172.98,104423300,172.98
"86",172.91,179.22,171.92,176.88,103232700,176.88
"87",173.04,174.93,170.01,171.76,84532400,171.76
"88",172.55,175.88,168.51,174.6,94516000,174.6
"89",172.34,173.81,170.36,171.05,64506600,171.05
"90",170.24,170.69,161.38,161.48,100245300,161.48
